nstock,cstock
0.058,1.423
0.256,4.682
0.014,0.464
0.083,1.486
0.025,0.397
0.201,4.642
0.345,6.644
0.022,0.69
0.013,0.542
0.018,0.429
0.016,0.514
0.028,0.663
0.089,3.251
0.024,1.082
0.04,1.389
1.045,18.758
0.43,10.278
0.057,2.659
0.171,4.837
0.35,8.612
0.049,1.871
0.03,0.946
