uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,analysisStartDate,biogeoIDnrcs,biogeoSampleType,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,processingRemarks,laboratoryName,dataQF,publicationDate
83bc85ec-ed7f-439a-8144-cf89d23e24c4,NOGP_015.basePlot.all,D09,NOGP,NOGP_015,S2016ND059014,2016-05-03,16N04094,A,2016-10-27,S2016ND059014-1,bulk,0,27,13.5,1.05,,,21.6,1.5,9.8,0,32.3,,32.9,100,,,,,6.1,6.8,0.15,,,,,,,,,,,,,,,,,,,22.8,2,11,23,0.2,0.12,0.23,344.4,325.4,0.06,0.04,0.1,1.2,0,0.2,8.6,21.9,,,2.2,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
9eac194f-0227-4e20-aad7-2979b518af04,NOGP_012.basePlot.all,D09,NOGP,NOGP_012,S2016ND059011,2016-05-03,16N04089,Cr,2016-10-27,S2016ND059011-4,bulk,88,200,144,1.057,,20,33.5,0.8,24.5,1.5,29.3,,60.3,100,,,,,8.2,8.9,0.23,,,,,,,,,,,,,,,,,,,5.5,0.3,11,3,0.3,0.08,0.54,77.3,301.8,0.09,0.04,0.1,2,0,0.3,,15.5,,,7.1,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
34dc7f04-5bb8-465d-8135-f9b7a0220ef3,NOGP_012.basePlot.all,D09,NOGP,NOGP_012,S2016ND059011,2016-05-03,16N04088,Btk,2016-10-27,S2016ND059011-3,bulk,51,88,69.5,1.051,,80,58.6,0.8,17.5,0,29.4,,76.9,100,,,,,7.9,8.5,0.23,,,,,,,,,,,,,,,,,,,16.8,1.1,7,7,0.1,0.11,0.23,87.7,334.8,0.06,0.03,0.1,0.9,0,0.1,,20.5,,,0.5,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
a0762b91-b6ba-4986-be6b-6b02479aa787,NOGP_008.basePlot.all,D09,NOGP,NOGP_008,S2016ND059007,2016-05-03,16N04078,A,2016-10-27,S2016ND059007-1,bulk,0,23,11.5,1.052,,0,40.1,1.2,8.7,0,37,,50,100,,,,,7.4,7.9,0.37,,0,3.6,0.5,0,0.71,0,77.3,4,0.7,1.6,0,1.4,0,0,7.2,,0.4,27.9,2.8,10,27,0.4,0.17,0.28,384.9,448.2,0.06,0.05,0.1,1.5,0,0.2,4.9,25.1,,,2.2,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
e12e6e45-3d18-4359-8cac-c9ec29d88398,NOGP_015.basePlot.all,D09,NOGP,NOGP_015,S2016ND059014,2016-05-03,16N04097,Bt3,2016-10-27,S2016ND059014-4,bulk,73,85,79,1.07,,20,24.5,0.5,18.5,0,35.4,,43.5,100,,,,,7.5,8,0.19,,,,,,,,,,,,,,,,,,,10.1,0.9,9,8,0.1,0.09,0.21,151.3,354.6,0.06,0.02,0.1,0.8,0,0.2,4,23.2,,,0.8,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
3d43af29-c77b-4b3e-a78a-6d532130b226,NOGP_041.basePlot.all,D09,NOGP,NOGP_041,S2016ND059030,2016-05-03,16N04141,2Abk,2016-10-30,S2016ND059030-5,bulk,53,62,57.5,1.032,,90,60.3,0.4,10.2,0,20.9,,70.9,100,,,,,7.9,8.6,0.21,,,,,,,,,,,,,,,,,,,21.4,1,10,10,0.1,0.11,0.12,265.1,228.4,0.02,0.04,0.1,0.7,0,0.1,,15,,,1,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
f351da94-d3e2-4d2a-805a-cb25bc233dfa,NOGP_041.basePlot.all,D09,NOGP,NOGP_041,S2016ND059030,2016-05-03,16N04142,2Bk2,2016-10-30,S2016ND059030-6,bulk,62,80,71,1.03,,70,51,0.4,11.8,0,17.7,,63.2,100,,,,,8,8.6,0.27,,,3.3,1.4,0,0.5,0,61.5,3.1,0,2.1,0,0,0.1,,8,,0.3,16.1,1,8,8,0.1,0.1,0.14,266.3,178.2,0.01,0.03,0.1,0.7,0,0.1,,12.5,,,0.6,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
a1188315-80ce-40b3-abd1-137e3e747713,NOGP_041.basePlot.all,D09,NOGP,NOGP_041,S2016ND059030,2016-05-03,16N04137,A,2016-10-30,S2016ND059030-1,bulk,0,14,7,1.03,,,18.1,1.6,6.2,0,24,,25.9,100,,,,,6.8,7.3,0.3,,,5.9,0.5,0,0.9,0,63.5,2.5,0.6,2.5,0,2.7,1.8,,6.7,,0.5,26.6,2.6,10,27,0.2,0.12,0.1,215.4,152.2,0.01,0.06,0.1,0.7,0,0.1,4.8,15.3,,,2.5,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
593c2b9f-5883-46d1-9c24-7636e759f6fa,NOGP_041.basePlot.all,D09,NOGP,NOGP_041,S2016ND059030,2016-05-03,16N04139,Bw2,2016-10-30,S2016ND059030-3,bulk,25,41,33,1.037,,20,38.5,0.7,8.7,0,24.8,,47.9,100,,,,,7.6,8.2,0.3,,,4.5,1.1,0,0.56,0,64.3,3.2,0,1.5,0,0.6,0.1,,7.6,,0.3,16.1,1.6,9,14,0.1,0.15,0.1,212.9,249.7,0.02,0.14,0.1,0.9,0,0.1,,15.2,,,1.1,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
de5fa7b3-36ad-42c7-afb3-ba756df3be44,NOGP_015.basePlot.all,D09,NOGP,NOGP_015,S2016ND059014,2016-05-03,16N04096,Bt2,2016-10-27,S2016ND059014-3,bulk,44,73,58.5,1.046,,,17.3,0.7,10,0,26.8,,28,100,,,,,6.6,7.3,0.1,,,,,,,,,,,,,,,,,,,11.8,1.2,10,12,0.1,0.11,0.2,396.7,251.9,0.06,0.04,0.1,1.5,0,0.2,4.4,17.8,,,0.9,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
fc51f8ad-f314-4703-bfb5-402687ee6fd7,NOGP_012.basePlot.all,D09,NOGP,NOGP_012,S2016ND059011,2016-05-03,16N04087,Bt,2016-10-27,S2016ND059011-2,bulk,18,51,34.5,1.041,,,16.2,0.9,11.7,0,27.1,,28.8,100,,,,,6.5,7,0.19,,,,,,,,,,,,,,,,,,,14.5,1.5,10,15,0.2,0.19,0.11,124.3,236.8,0.04,0.05,0.1,0.8,0,0.1,5.7,16.8,,,1.5,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
27125a68-e206-4105-bdc3-3f476a09c152,NOGP_041.basePlot.all,D09,NOGP,NOGP_041,S2016ND059030,2016-05-03,16N04138,Bw1,2016-10-30,S2016ND059030-2,bulk,14,25,19.5,1.035,,,16.2,1.1,7,0,24.1,,24.3,100,,,,,6.4,7,0.2,,,,,,,,,,,,,,,,,,,18,1.8,10,18,0.2,0.14,0.1,213.9,205.6,0.01,0.06,0.1,0.8,0,0.1,6.2,14.5,,,1.4,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
d70d920e-ab69-481d-94d3-287863b9c3d4,NOGP_015.basePlot.all,D09,NOGP,NOGP_015,S2016ND059014,2016-05-03,16N04095,Bt1,2016-10-27,S2016ND059014-2,bulk,27,44,35.5,1.05,,,20.3,1,10.6,0,30.1,,31.9,100,,,,,6.4,7.1,0.09,,,,,,,,,,,,,,,,,,,15.4,1.5,10,15,0.2,0.11,0.19,372.7,261.3,0.06,0.02,0.1,1.7,0,0.2,5.9,20.4,,,1.1,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
56e70d99-a86c-4e7b-a22c-c67182a90ead,NOGP_041.basePlot.all,D09,NOGP,NOGP_041,S2016ND059030,2016-05-03,16N04140,Bk1,2016-10-30,S2016ND059030-4,bulk,41,53,47,1.036,,100,59.6,0.4,10,0,21.3,,70,100,,,,,7.8,8.5,0.22,,,,,,,,,,,,,,,,,,,22.7,1.3,8,11,0.1,0.13,0.11,222.3,258.4,0.02,0.03,0.1,0.8,0,0.1,,14.3,,,0.7,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
42461e4a-0c34-4ffd-87f2-50b54a8f7f36,NOGP_008.basePlot.all,D09,NOGP,NOGP_008,S2016ND059007,2016-05-03,16N04081,Bk2,2016-10-27,S2016ND059007-4,bulk,67,110,88.5,1.052,0,70,51.2,0.6,16.9,1.3,29,,70,100,,,,,7.9,8.2,1.04,,0,9.5,0.3,0,2.16,0,84.8,1.7,0.2,8.9,5.4,0,0,0,7.7,,23.9,16.3,0.9,8,8,0.6,0.11,0.31,180.6,565.1,0.06,0.03,0.1,1.6,0,0.1,,22.7,,,0.6,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
57f86ecd-94a4-44bc-9b43-7b09b8e05b57,NOGP_015.basePlot.all,D09,NOGP,NOGP_015,S2016ND059014,2016-05-03,16N04098,Bk,2016-10-29,S2016ND059014-5,bulk,85,104,94.5,1.064,,60,39,0.5,19.3,0.1,33.3,,58.9,100,,,,,7.7,8.2,0.23,,,,,,,,,,,,,,,,,,,11.8,0.5,8,4,0,0.08,0.18,72.7,327.8,0.05,0.02,0.1,0.5,0,0.2,2.7,22.9,,,0.9,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
a060fada-9c2b-48e6-a56c-9d483ad4ea04,NOGP_008.basePlot.all,D09,NOGP,NOGP_008,S2016ND059007,2016-05-03,16N04079,Bw,2016-10-27,S2016ND059007-2,bulk,23,38,30.5,1.054,,10,47.2,1,10.1,0,36.3,,58.3,100,,,,,7.5,8.1,0.33,,0,2.5,0.4,0,0.61,0,77.7,3.9,0.6,1.5,0,0.9,0,0,7.3,,0.4,25.1,2.4,10,23,0.4,0.17,0.29,322.7,523.7,0.07,0.05,0.1,1.5,0,0.1,,23.9,,,1.9,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
f2d18316-e096-46ec-9408-f4d5fff35ef8,NOGP_024.basePlot.all,D09,NOGP,NOGP_024,S2016ND059023,2016-05-04,16N04127,2Cr,2016-10-30,S2016ND059023-7,bulk,99,200,149.5,1.054,,40,52.5,0.8,28.5,3.3,28,,85.1,100,,,,,8,8.2,7.49,,,22.1,0.4,0,5.86,0.1,85.3,1.6,0.6,52.6,16.5,0,0,,8,,84.9,10.1,0.3,15,5,3.7,0.07,0.23,118.1,372,0.07,0.02,0,0.8,0,0.2,,21.9,,,1.8,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
